stress_def,model,fold_id,n_train,n_test,auc,pr_auc,brier,ece,threshold,alarm_rate,alarm_precision,drawdown_lift,severity_lift,n_alarms,n_events,n_test_eff,seed,crisis,configuration,is_recovery,auc_full_window,auc_first30,auc_rest,n_train_rows_after_dropna,n_trees_built,calm_mean_score,calm_max_score
h10_d05,LightGbmTuned,1,2229,253,,,,,0.680044764567623,,,,,0,0,0,46,crisis_2020,spx_full,False,,,,1574,50.0,0.39119047449949035,0.6457697624101312
h20_d07,NaiveBaseRate,1,2229,253,0.5,0.16205533596837945,0.14702439649090968,0.10597637679386171,0.056078959174517724,0.0,,,,0,41,253,42,crisis_2020,spx_full,False,0.5,0.5,0.5,1574,,0.050190597204574326,0.05019059720457433
h20_d07,NaiveBaseRate,1,2229,253,0.5,0.16205533596837945,0.14702439649090968,0.10597637679386171,0.056078959174517724,0.0,,,,0,41,253,43,crisis_2020,spx_full,False,0.5,0.5,0.5,1574,,0.050190597204574326,0.05019059720457433
h20_d07,NaiveBaseRate,1,2229,253,0.5,0.16205533596837945,0.14702439649090968,0.10597637679386171,0.056078959174517724,0.0,,,,0,41,253,44,crisis_2020,spx_full,False,0.5,0.5,0.5,1574,,0.050190597204574326,0.05019059720457433
h20_d07,NaiveBaseRate,1,2229,253,0.5,0.16205533596837945,0.14702439649090968,0.10597637679386171,0.056078959174517724,0.0,,,,0,41,253,45,crisis_2020,spx_full,False,0.5,0.5,0.5,1574,,0.050190597204574326,0.05019059720457433
h20_d07,NaiveBaseRate,1,2229,253,0.5,0.16205533596837945,0.14702439649090968,0.10597637679386171,0.056078959174517724,0.0,,,,0,41,253,46,crisis_2020,spx_full,False,0.5,0.5,0.5,1574,,0.050190597204574326,0.05019059720457433
h20_d07,VIXPercentileRaw,1,2229,253,0.44351127473538887,0.19413999072516847,0.715529716830326,0.7531639172460753,0.9500224315836698,0.4980237154150198,0.12698412698412698,0.9669766080425028,1.166869119445341,126,41,253,42,crisis_2020,spx_full,False,0.44351127473538887,0.8842592592592592,0.560966939210807,1574,,0.6019377382465056,0.9104193138500636
h20_d07,VIXPercentileRaw,1,2229,253,0.44351127473538887,0.19413999072516847,0.715529716830326,0.7531639172460753,0.9500224315836698,0.4980237154150198,0.12698412698412698,0.9669766080425028,1.166869119445341,126,41,253,43,crisis_2020,spx_full,False,0.44351127473538887,0.8842592592592592,0.560966939210807,1574,,0.6019377382465056,0.9104193138500636
h20_d07,VIXPercentileRaw,1,2229,253,0.44351127473538887,0.19413999072516847,0.715529716830326,0.7531639172460753,0.9500224315836698,0.4980237154150198,0.12698412698412698,0.9669766080425028,1.166869119445341,126,41,253,44,crisis_2020,spx_full,False,0.44351127473538887,0.8842592592592592,0.560966939210807,1574,,0.6019377382465056,0.9104193138500636
h20_d07,VIXPercentileRaw,1,2229,253,0.44351127473538887,0.19413999072516847,0.715529716830326,0.7531639172460753,0.9500224315836698,0.4980237154150198,0.12698412698412698,0.9669766080425028,1.166869119445341,126,41,253,45,crisis_2020,spx_full,False,0.44351127473538887,0.8842592592592592,0.560966939210807,1574,,0.6019377382465056,0.9104193138500636
