crisis,configuration,stress_def,model,seed,n_train,n_test,auc,auc_full_window,auc_first30,auc_rest,pr_auc,brier,ece,alarm_rate,alarm_precision,drawdown_lift,severity_lift,n_alarms,n_events,n_train_rows_after_dropna,n_trees_built,calm_mean_score,calm_max_score
crisis_2020,spx_full,h5_d03,VIXPercentileRaw,46,2229,253,0.6788652889399158,0.6788652889399158,,0.6283738191632928,0.379568304924152,0.6367531868278612,0.6746923858516112,0.4980237154150198,0.2777777777777778,1.295100363551508,1.0608346930628059,126,52,1574,,0.6019377382465056,0.9104193138500636
crisis_2020,spx_full,h5_d03,VIXPercentileCalibrated,42,2229,253,0.676903941829315,0.676903941829315,,0.6265182186234818,0.3045769372211603,0.1550248637059767,0.05678122844498319,0.30434782608695654,0.33766233766233766,1.692838472529643,1.170701526288169,77,52,1574,,0.07017842144276677,0.16312056737588654
crisis_2020,spx_full,h5_d03,VIXPercentileCalibrated,43,2229,253,0.676903941829315,0.676903941829315,,0.6265182186234818,0.3045769372211603,0.1550248637059767,0.05678122844498319,0.30434782608695654,0.33766233766233766,1.692838472529643,1.170701526288169,77,52,1574,,0.07017842144276677,0.16312056737588654
crisis_2020,spx_full,h5_d03,VIXPercentileCalibrated,44,2229,253,0.676903941829315,0.676903941829315,,0.6265182186234818,0.3045769372211603,0.1550248637059767,0.05678122844498319,0.30434782608695654,0.33766233766233766,1.692838472529643,1.170701526288169,77,52,1574,,0.07017842144276677,0.16312056737588654
crisis_2020,spx_full,h5_d03,VIXPercentileCalibrated,45,2229,253,0.676903941829315,0.676903941829315,,0.6265182186234818,0.3045769372211603,0.1550248637059767,0.05678122844498319,0.30434782608695654,0.33766233766233766,1.692838472529643,1.170701526288169,77,52,1574,,0.07017842144276677,0.16312056737588654
crisis_2020,spx_full,h5_d03,VIXPercentileCalibrated,46,2229,253,0.676903941829315,0.676903941829315,,0.6265182186234818,0.3045769372211603,0.1550248637059767,0.05678122844498319,0.30434782608695654,0.33766233766233766,1.692838472529643,1.170701526288169,77,52,1574,,0.07017842144276677,0.16312056737588654
crisis_2020,spx_full,h5_d03,HarRvThreshold,42,2229,253,0.6339707778255265,0.6339707778255265,0.735,0.5796042899408285,0.38748754182820727,0.1961251703644476,0.15141270706200388,0.30735930735930733,0.352112676056338,1.7457917938580922,1.2428685498275365,71,52,1574,,0.05337018929775342,0.23045948485542084
crisis_2020,spx_full,h5_d03,HarRvThreshold,43,2229,253,0.6339707778255265,0.6339707778255265,0.735,0.5796042899408285,0.38748754182820727,0.1961251703644476,0.15141270706200388,0.30735930735930733,0.352112676056338,1.7457917938580922,1.2428685498275365,71,52,1574,,0.05337018929775342,0.23045948485542084
crisis_2020,spx_full,h5_d03,HarRvThreshold,44,2229,253,0.6339707778255265,0.6339707778255265,0.735,0.5796042899408285,0.38748754182820727,0.1961251703644476,0.15141270706200388,0.30735930735930733,0.352112676056338,1.7457917938580922,1.2428685498275365,71,52,1574,,0.05337018929775342,0.23045948485542084
crisis_2020,spx_full,h5_d03,HarRvThreshold,45,2229,253,0.6339707778255265,0.6339707778255265,0.735,0.5796042899408285,0.38748754182820727,0.1961251703644476,0.15141270706200388,0.30735930735930733,0.352112676056338,1.7457917938580922,1.2428685498275365,71,52,1574,,0.05337018929775342,0.23045948485542084
